n_batch:875,phase:    train,avg_loss:4.294e-01, avg_error_rate:8.456e+01
n_batch:880,phase:    train,avg_loss:4.291e-01, avg_error_rate:8.457e+01
n_batch:885,phase:    train,avg_loss:4.288e-01, avg_error_rate:8.458e+01
n_batch:890,phase:    train,avg_loss:4.286e-01, avg_error_rate:8.460e+01
n_batch:895,phase:    train,avg_loss:4.283e-01, avg_error_rate:8.462e+01
n_batch:900,phase:    train,avg_loss:4.281e-01, avg_error_rate:8.464e+01
n_batch:905,phase:    train,avg_loss:4.279e-01, avg_error_rate:8.467e+01
n_batch:910,phase:    train,avg_loss:4.276e-01, avg_error_rate:8.469e+01
n_batch:915,phase:    train,avg_loss:4.273e-01, avg_error_rate:8.471e+01
n_batch:920,phase:    train,avg_loss:4.270e-01, avg_error_rate:8.472e+01
n_batch:925,phase:    train,avg_loss:4.267e-01, avg_error_rate:8.473e+01
n_batch:930,phase:    train,avg_loss:4.264e-01, avg_error_rate:8.473e+01
n_batch:935,phase:    train,avg_loss:4.261e-01, avg_error_rate:8.475e+01
n_batch:940,phase:    train,avg_loss:4.259e-01, avg_error_rate:8.476e+01
n_batch:945,phase:    train,avg_loss:4.256e-01, avg_error_rate:8.477e+01
n_batch:950,phase:    train,avg_loss:4.254e-01, avg_error_rate:8.479e+01
n_batch:955,phase:    train,avg_loss:4.251e-01, avg_error_rate:8.479e+01
n_batch:960,phase:    train,avg_loss:4.248e-01, avg_error_rate:8.480e+01
n_batch:965,phase:    train,avg_loss:4.246e-01, avg_error_rate:8.481e+01
n_batch:970,phase:    train,avg_loss:4.243e-01, avg_error_rate:8.481e+01
n_batch:975,phase:    train,avg_loss:4.241e-01, avg_error_rate:8.482e+01
n_batch:980,phase:    train,avg_loss:4.238e-01, avg_error_rate:8.482e+01
n_batch:985,phase:    train,avg_loss:4.235e-01, avg_error_rate:8.482e+01
n_batch:990,phase:    train,avg_loss:4.233e-01, avg_error_rate:8.482e+01
n_batch:995,phase:    train,avg_loss:4.230e-01, avg_error_rate:8.483e+01
n_batch:1000,phase:    train,avg_loss:4.227e-01, avg_error_rate:8.483e+01
n_batch:1005,phase:    train,avg_loss:4.225e-01, avg_error_rate:8.483e+01
n_batch:1010,phase:    train,avg_loss:4.222e-01, avg_error_rate:8.483e+01
n_batch:1015,phase:    train,avg_loss:4.220e-01, avg_error_rate:8.484e+01
n_batch:1020,phase:    train,avg_loss:4.217e-01, avg_error_rate:8.485e+01
n_batch:1025,phase:    train,avg_loss:4.215e-01, avg_error_rate:8.485e+01
n_batch:1030,phase:    train,avg_loss:4.212e-01, avg_error_rate:8.485e+01
n_batch:1035,phase:    train,avg_loss:4.210e-01, avg_error_rate:8.485e+01
n_batch:1040,phase:    train,avg_loss:4.208e-01, avg_error_rate:8.486e+01
